ABSORBED WATER SUMMARY (Summed)
-------------------------------
Absorbed Iteration 253 total: 5575.664555
Absorbed Iteration 254 total: 5296.663855
Absorbed Iteration 255 total: 5031.630420
Absorbed Iteration 256 total: 4779.864695
Absorbed Iteration 257 total: 4540.702103
Absorbed Iteration 258 total: 4313.511119
Absorbed Iteration 259 total: 4097.692165
Absorbed Iteration 260 total: 3892.675710
Absorbed Iteration 261 total: 3697.920756
Absorbed Iteration 262 total: 3512.912947
Absorbed Iteration 263 total: 3337.164859
Absorbed Iteration 264 total: 3170.212018
Absorbed Iteration 265 total: 3011.614687
Absorbed Iteration 266 total: 2860.954029
Absorbed Iteration 267 total: 2717.832817
Absorbed Iteration 268 total: 2581.873575
Absorbed Iteration 269 total: 2452.717746
Absorbed Iteration 270 total: 2330.024637
Absorbed Iteration 271 total: 2213.470732
Absorbed Iteration 272 total: 2102.748826
Absorbed Iteration 273 total: 1997.566839
Absorbed Iteration 274 total: 1897.647521
Absorbed Iteration 275 total: 1802.727507
Absorbed Iteration 276 total: 1712.556430
Absorbed Iteration 277 total: 1626.896748
Absorbed Iteration 278 total: 1545.522510
Absorbed Iteration 279 total: 1468.219439
Absorbed Iteration 280 total: 1394.783636
Absorbed Iteration 281 total: 1325.021644
Absorbed Iteration 282 total: 1258.749518
Absorbed Iteration 283 total: 1195.792722
Absorbed Iteration 284 total: 1135.985326
Absorbed Iteration 285 total: 1079.169696
Absorbed Iteration 286 total: 1025.196142
Absorbed Iteration 287 total: 973.922513
Absorbed Iteration 288 total: 925.213658
Absorbed Iteration 289 total: 878.941274
Absorbed Iteration 290 total: 834.983410
Absorbed Iteration 291 total: 793.224342
Absorbed Iteration 292 total: 753.554006
Absorbed Iteration 293 total: 715.867918
Absorbed Iteration 294 total: 680.066786
Absorbed Iteration 295 total: 646.056383
Absorbed Iteration 296 total: 613.747004
Absorbed Iteration 297 total: 583.053659
Absorbed Iteration 298 total: 553.895446
Absorbed Iteration 299 total: 526.195599
Absorbed Iteration 300 total: 499.881110
Absorbed Iteration 301 total: 474.882784
Absorbed Iteration 302 total: 451.134668
Absorbed Iteration 303 total: 428.574300
Absorbed Iteration 304 total: 407.142234
Absorbed Iteration 305 total: 386.782042
Absorbed Iteration 306 total: 367.440100
Absorbed Iteration 307 total: 349.065491
Absorbed Iteration 308 total: 331.609813
Absorbed Iteration 309 total: 315.027119
Absorbed Iteration 310 total: 299.273726
Absorbed Iteration 311 total: 284.308176
Absorbed Iteration 312 total: 270.091053
Absorbed Iteration 313 total: 256.584909
Absorbed Iteration 314 total: 243.754222
Absorbed Iteration 315 total: 231.565162
Absorbed Iteration 316 total: 219.985680
Absorbed Iteration 317 total: 208.985258
Absorbed Iteration 318 total: 198.534953
Absorbed Iteration 319 total: 188.607252
Absorbed Iteration 320 total: 179.176000
Absorbed Iteration 321 total: 170.216395
Absorbed Iteration 322 total: 161.704826
Absorbed Iteration 323 total: 153.618899
Absorbed Iteration 324 total: 145.937323
Absorbed Iteration 325 total: 138.639876
Absorbed Iteration 326 total: 131.707347
Absorbed Iteration 327 total: 125.121486
Absorbed Iteration 328 total: 118.864963
Absorbed Iteration 329 total: 112.921295
Absorbed Iteration 330 total: 107.274851
Absorbed Iteration 331 total: 101.910754
Absorbed Iteration 332 total: 96.814892
Absorbed Iteration 333 total: 91.973849
Absorbed Iteration 334 total: 87.374883
Absorbed Iteration 335 total: 83.005887
Absorbed Iteration 336 total: 78.855360
Absorbed Iteration 337 total: 74.912379
Absorbed Iteration 338 total: 71.166563
Absorbed Iteration 339 total: 67.608055
Absorbed Iteration 340 total: 64.227485
Absorbed Iteration 341 total: 61.015958
Absorbed Iteration 342 total: 57.965018
Absorbed Iteration 343 total: 55.066641
Absorbed Iteration 344 total: 52.313187
Absorbed Iteration 345 total: 49.697419
Absorbed Iteration 346 total: 47.212447
Absorbed Iteration 347 total: 44.851732
Absorbed Iteration 348 total: 42.609060
Absorbed Iteration 349 total: 40.478529
Absorbed Iteration 350 total: 38.454529
Absorbed Iteration 351 total: 36.531737
Absorbed Iteration 352 total: 34.705089
Absorbed Iteration 353 total: 32.969779
Absorbed Iteration 354 total: 31.321238
Absorbed Iteration 355 total: 29.755128
Absorbed Iteration 356 total: 28.267329
Absorbed Iteration 357 total: 26.853920
Absorbed Iteration 358 total: 25.511189
Absorbed Iteration 359 total: 24.235595
Absorbed Iteration 360 total: 23.023784
Absorbed Iteration 361 total: 21.872566
Absorbed Iteration 362 total: 20.778911
Absorbed Iteration 363 total: 19.739941
Absorbed Iteration 364 total: 18.752921
Absorbed Iteration 365 total: 17.815254
Absorbed Iteration 366 total: 16.924473
Absorbed Iteration 367 total: 16.078232
Absorbed Iteration 368 total: 15.274304
Absorbed Iteration 369 total: 14.510574
Absorbed Iteration 370 total: 13.785032
Absorbed Iteration 371 total: 13.095767
Absorbed Iteration 372 total: 12.440968
Absorbed Iteration 373 total: 11.818908
Absorbed Iteration 374 total: 11.227954
Absorbed Iteration 375 total: 10.666547
Absorbed Iteration 376 total: 10.133211
Absorbed Iteration 377 total: 9.626543
Absorbed Iteration 378 total: 9.145209
Absorbed Iteration 379 total: 8.687942
Absorbed Iteration 380 total: 8.253539
Absorbed Iteration 381 total: 7.840857
